"ANNEE";"COMM";"TYPE_LGT";"LOG_AUT";"LOG_COM";"SDP_AUT";"SDP_COM"
"2025";"95176";"Individuel pur";10;;1025;
"2025";"95176";"Individuel groupe";8;;383;
"2025";"95176";"Collectif";209;;13273;
"2025";"95176";"Residence";0;;0;
"2025";"95177";"Tous Logements";3;;276;
"2025";"95177";"Individuel pur";3;;276;
"2025";"95177";"Individuel groupe";0;;0;
"2025";"95177";"Collectif";0;;0;
"2025";"95177";"Residence";0;;0;
"2025";"95181";"Tous Logements";0;;0;
"2025";"95181";"Individuel pur";0;;0;
"2025";"95181";"Individuel groupe";0;;0;
"2025";"95181";"Collectif";0;;0;
"2025";"95181";"Residence";0;;0;
"2025";"95183";"Tous Logements";43;;3423;
"2025";"95183";"Individuel pur";1;;97;
"2025";"95183";"Individuel groupe";12;;1326;
"2025";"95183";"Collectif";30;;2000;
"2025";"95183";"Residence";0;;0;
"2025";"95197";"Tous Logements";146;;9810;
"2025";"95197";"Individuel pur";10;;1392;
"2025";"95197";"Individuel groupe";0;;0;
"2025";"95197";"Collectif";136;;8418;
"2025";"95197";"Residence";0;;0;
"2025";"95199";"Tous Logements";60;;4635;
"2025";"95199";"Individuel pur";11;;1829;
"2025";"95199";"Individuel groupe";2;;266;
"2025";"95199";"Collectif";47;;2540;
"2025";"95199";"Residence";0;;0;
"2025";"95203";"Tous Logements";61;;4449;
"2025";"95203";"Individuel pur";12;;1661;
"2025";"95203";"Individuel groupe";0;;0;
"2025";"95203";"Collectif";49;;2788;
"2025";"95203";"Residence";0;;0;
"2025";"95205";"Tous Logements";3;;286;
"2025";"95205";"Individuel pur";3;;286;
"2025";"95205";"Individuel groupe";0;;0;
"2025";"95205";"Collectif";0;;0;
"2025";"95205";"Residence";0;;0;
"2025";"95210";"Tous Logements";3;;470;
"2025";"95210";"Individuel pur";3;;470;
"2025";"95210";"Individuel groupe";0;;0;
"2025";"95210";"Collectif";0;;0;
"2025";"95210";"Residence";0;;0;
"2025";"95211";"Tous Logements";2;;190;
"2025";"95211";"Individuel pur";2;;190;
"2025";"95211";"Individuel groupe";0;;0;
"2025";"95211";"Collectif";0;;0;
"2025";"95211";"Residence";0;;0;
"2025";"95212";"Tous Logements";0;;0;
"2025";"95212";"Individuel pur";0;;0;
"2025";"95212";"Individuel groupe";0;;0;
"2025";"95212";"Collectif";0;;0;
"2025";"95212";"Residence";0;;0;
"2025";"95213";"Tous Logements";0;;0;
"2025";"95213";"Individuel pur";0;;0;
"2025";"95213";"Individuel groupe";0;;0;
"2025";"95213";"Collectif";0;;0;
"2025";"95213";"Residence";0;;0;
"2025";"95214";"Tous Logements";0;;0;
"2025";"95214";"Individuel pur";0;;0;
"2025";"95214";"Individuel groupe";0;;0;
"2025";"95214";"Collectif";0;;0;
"2025";"95214";"Residence";0;;0;
"2025";"95218";"Tous Logements";27;;3344;
"2025";"95218";"Individuel pur";19;;2816;
"2025";"95218";"Individuel groupe";4;;298;
"2025";"95218";"Collectif";4;;230;
"2025";"95218";"Residence";0;;0;
"2025";"95219";"Tous Logements";7;;900;
"2025";"95219";"Individuel pur";7;;900;
"2025";"95219";"Individuel groupe";0;;0;
"2025";"95219";"Collectif";0;;0;
"2025";"95219";"Residence";0;;0;
"2025";"95229";"Tous Logements";1;;100;
"2025";"95229";"Individuel pur";1;;100;
"2025";"95229";"Individuel groupe";0;;0;
"2025";"95229";"Collectif";0;;0;
"2025";"95229";"Residence";0;;0;
"2025";"95241";"Tous Logements";1;;106;
"2025";"95241";"Individuel pur";1;;106;
"2025";"95241";"Individuel groupe";0;;0;
"2025";"95241";"Collectif";0;;0;
"2025";"95241";"Residence";0;;0;
"2025";"95250";"Tous Logements";54;;3406;
"2025";"95250";"Individuel pur";1;;210;
"2025";"95250";"Individuel groupe";0;;0;
"2025";"95250";"Collectif";53;;3196;
"2025";"95250";"Residence";0;;0;
"2025";"95252";"Tous Logements";8;;999;
"2025";"95252";"Individuel pur";5;;609;
"2025";"95252";"Individuel groupe";3;;390;
"2025";"95252";"Collectif";0;;0;
"2025";"95252";"Residence";0;;0;
"2025";"95253";"Tous Logements";0;;0;
"2025";"95253";"Individuel pur";0;;0;
"2025";"95253";"Individuel groupe";0;;0;
"2025";"95253";"Collectif";0;;0;
"2025";"95253";"Residence";0;;0;
"2025";"95254";"Tous Logements";0;;0;
"2025";"95254";"Individuel pur";0;;0;
"2025";"95254";"Individuel groupe";0;;0;
"2025";"95254";"Collectif";0;;0;
"2025";"95254";"Residence";0;;0;
"2025";"95256";"Tous Logements";2;;148;
"2025";"95256";"Individuel pur";2;;148;
"2025";"95256";"Individuel groupe";0;;0;
"2025";"95256";"Collectif";0;;0;
"2025";"95256";"Residence";0;;0;
"2025";"95257";"Tous Logements";3;;542;
"2025";"95257";"Individuel pur";3;;542;
"2025";"95257";"Individuel groupe";0;;0;
"2025";"95257";"Collectif";0;;0;
"2025";"95257";"Residence";0;;0;
"2025";"95258";"Tous Logements";1;;118;
"2025";"95258";"Individuel pur";1;;118;
